name,url,category,sub_category,price,price_per_unit,price_unit,quantity,weight_per_unit,weight_unit,energy_kj,energy_kcal,fat (g),of which saturates (g),carbohydrate (g),of which sugars (g),fibre (g),protein (g),salt (g),fatlow (g),of which saturateslow (g),of which sugarsmedium (g),saltlow (g),of which sugarshigh (g),saltmedium (g),of which sugarslow (g),salthigh (g),of which mono-unsaturates (g),fathigh (g),of which saturatesmedium (g),fatmedium (g),of which saturateshigh (g),sodium (g),energy value in kj (g),energy value in kcal (g),vitamin b1 (thiamin) (g),vitamin b2 (riboflavin) (g),niacin (g),vitamin b6 (g),folic acid / folate (g),iron (g),magnesium (g),of which polyvalents alcohols (g),phosphorus (g),mangan (g),vitamin b12 (g),vitamin d (g),pantothenic acid (g),calcium (g),folic acid (g),vitamin e (g),vitamin k (g),vitamin c (g),biotin (g),omega-3 fatty acids (g),potassium (g),zinc (g),alpha linolenic acid (omega-3 fatty acids) (g),water (g),omega-6 fatty acids (g),iodine (g),fluoride (g),of which starch (g),vitamin a (g),cholesterin (g),selen (g),caffeine (g),copper (g),silicon (g),bicarbonate (or hydrogen carbonate) (g),nitrate (g),sulfate (g),chloride (g),sulphate 4+ (g),minerals (g),vegetable sterine (g),chrome (g),molybdenum (g),lactose (g)
Heidelbeeren,https://www.migros.ch/en/product/265606702500,fruits-vegetables,fruits,,,,,,,174,42,0.6,0,6,6,5,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Cassis,https://www.migros.ch/en/product/265681302300,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Pomegranate,https://www.migros.ch/en/product/264682513200,fruits-vegetables,fruits,,,,,,,326,77,0.6,0,16,16,2.2,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · Apples · Boskoop,https://www.migros.ch/en/product/260205004100,fruits-vegetables,fruits,,,,,,,232,55,0.5,0.1,12,12,2.1,0.5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · peanuts,https://www.migros.ch/en/product/266080109400,fruits-vegetables,fruits,5.2,1.04,100g,1,500,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apples · Pink Lady,https://www.migros.ch/en/product/260260304100,fruits-vegetables,fruits,,,,,,,232,55,0.5,0.1,12,12,2.1,0.5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra · grapes · rosé seedless,https://www.migros.ch/en/product/265323302300,fruits-vegetables,fruits,3.5,0.7,100g,1,500,g,293,69,0.5,0.1,15,15,1.5,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sélection · dates,https://www.migros.ch/en/product/264601802300,fruits-vegetables,fruits,5.95,2.98,100g,1,200,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra · Physicalis,https://www.migros.ch/en/product/264625602300,fruits-vegetables,fruits,1.5,1.5,100g,1,100,g,334,79,1,0,13,12,4,2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Oriental persimmon,https://www.migros.ch/en/product/264882502300,fruits-vegetables,fruits,,,,,,,299,71,0.5,0,15,15,2.5,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Ginger · Organic,https://www.migros.ch/en/product/264682902100,fruits-vegetables,fruits,8.9,0.89,100g,1,1000,g,352,83,0.8,0.2,16,1.5,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriental persimmon · Persimmon,https://www.migros.ch/en/product/264802101000,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · blueberries,https://www.migros.ch/en/product/265606703000,fruits-vegetables,fruits,8.9,1.78,100g,1,500,g,174,42,0.6,0,6,6,5,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra · Pomegranate,https://www.migros.ch/en/product/264605613200,fruits-vegetables,fruits,,,,,,,326,77,0.6,0,16,16,2.2,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon fruit · Red,https://www.migros.ch/en/product/264626313200,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingwer,https://www.migros.ch/en/product/264608501000,fruits-vegetables,fruits,5.9,0.59,100g,1,1000,g,352,83,0.8,0.2,16,1.5,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litschis,https://www.migros.ch/en/product/264616501000,fruits-vegetables,fruits,,,,,,,324,77,0.5,0,17,17,1.5,0.9,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passionsfrucht,https://www.migros.ch/en/product/264623501000,fruits-vegetables,fruits,,,,,,,341,82,0.5,0.1,12,11,11,2.2,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Persimon Kaki,https://www.migros.ch/en/product/264882101000,fruits-vegetables,fruits,6.5,0.65,100g,1,1000,g,299,71,0.5,0,15,15,2.5,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feigen blau,https://www.migros.ch/en/product/264800713200,fruits-vegetables,fruits,0.75,0.75,piece,1,,piece,276,65,0.5,0,13,13,2,1.3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.migros.ch/en/product/264622302100,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physalis,https://www.migros.ch/en/product/264625513200,fruits-vegetables,fruits,,,,,,,334,79,1,0,13,12,4,2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaki,https://www.migros.ch/en/product/264801702300,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Passionsfrucht,https://www.migros.ch/en/product/264623601000,fruits-vegetables,fruits,1.5,1.5,100g,1,100,g,341,82,0.5,0.1,12,11,11,2.2,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Physalis,https://www.migros.ch/en/product/264625502300,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Fairtrade Ingwer,https://www.migros.ch/en/product/264683101000,fruits-vegetables,fruits,,,,,,,352,83,0.8,0.2,16,1.5,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Datteln,https://www.migros.ch/en/product/264681502100,fruits-vegetables,fruits,2.8,2.8,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Ingwer,https://www.migros.ch/en/product/264682901000,fruits-vegetables,fruits,7.5,0.75,100g,1,1000,g,352,83,0.8,0.2,16,1.5,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datteln,https://www.migros.ch/en/product/264601302700,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passionsfrucht,https://www.migros.ch/en/product/264623502400,fruits-vegetables,fruits,,,,,,,341,82,0.5,0.1,12,11,11,2.2,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairtrade Litschis,https://www.migros.ch/en/product/264616602400,fruits-vegetables,fruits,4.5,0.9,100g,1,500,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papaya Formosa,https://www.migros.ch/en/product/264622301000,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairtrade Litschis,https://www.migros.ch/en/product/264616601000,fruits-vegetables,fruits,9.5,0.95,100g,1,1000,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datteln,https://www.migros.ch/en/product/264601301000,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minikiwis,https://www.migros.ch/en/product/264401416300,fruits-vegetables,fruits,,,,,,,229,54,0.6,0,10,10,2.5,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marroni,https://www.migros.ch/en/product/266101702300,fruits-vegetables,fruits,,,,,,,837,198,1.5,0.3,42,5,1.4,2.9,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Kaki,https://www.migros.ch/en/product/264802302500,fruits-vegetables,fruits,,,,,,,299,71,0.5,0,15,15,2.5,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Persimon Kaki,https://www.migros.ch/en/product/264802301000,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Datteln,https://www.migros.ch/en/product/264681601000,fruits-vegetables,fruits,3,0.3,100g,1,1000,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datteln,https://www.migros.ch/en/product/268811302300,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guave,https://www.migros.ch/en/product/264607513200,fruits-vegetables,fruits,,,,,,,174,42,0.5,0,5.8,5.8,5.2,0.9,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamarillo,https://www.migros.ch/en/product/264628513200,fruits-vegetables,fruits,,,,,,,215,51,0.8,0,8,8,2.5,1.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Pitahaya pink,https://www.migros.ch/en/product/264626413200,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaktusfeigen,https://www.migros.ch/en/product/264610502100,fruits-vegetables,fruits,,,,,,,193,46,0.5,0,7.1,7.1,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiwano,https://www.migros.ch/en/product/264613513200,fruits-vegetables,fruits,,,,,,,232,55,1,0,9,8,1,2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karambole,https://www.migros.ch/en/product/264611513200,fruits-vegetables,fruits,3.2,3.2,piece,1,,piece,114,27,0.5,0,3.5,3.5,1.9,1.2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datteln natural,https://www.migros.ch/en/product/264600902400,fruits-vegetables,fruits,5.5,1.83,100g,1,300,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumquats,https://www.migros.ch/en/product/264612501000,fruits-vegetables,fruits,,,,,,,272,65,0.9,0.1,9,9,6.5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Zitronengras,https://www.migros.ch/en/product/264681202200,fruits-vegetables,fruits,1.8,3.6,100g,1,50,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rambutan,https://www.migros.ch/en/product/264627501000,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitahaya gelb,https://www.migros.ch/en/product/264626113200,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persimon Kaki,https://www.migros.ch/en/product/264802113200,fruits-vegetables,fruits,1,1,piece,1,,piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangostane,https://www.migros.ch/en/product/264618501000,fruits-vegetables,fruits,,,,,,,314,74,0.6,0,16,0,1.4,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitahaya rot weissfleischig,https://www.migros.ch/en/product/264626301000,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Ingwer frisch,https://www.migros.ch/en/product/264683701000,fruits-vegetables,fruits,,,,,,,352,83,0.8,0.2,16,1.5,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wassermelonen CH,https://www.migros.ch/en/product/264710213200,fruits-vegetables,fruits,,,,,,,129,31,0.5,0,6.3,6.3,0.5,0.5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenadille,https://www.migros.ch/en/product/264604513200,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · Lemon,https://www.migros.ch/en/product/263500313200,fruits-vegetables,fruits,,,,,,,101,24,0.6,0.1,3,3,2,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Feigen Solies,https://www.migros.ch/en/product/264800802400,fruits-vegetables,fruits,5.95,0.6,100g,1,1000,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passionsfrucht,https://www.migros.ch/en/product/264623813200,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomelo,https://www.migros.ch/en/product/263604713200,fruits-vegetables,fruits,3.8,3.8,piece,1,,piece,126,30,0.5,0,5.9,5.9,1.3,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · Apricots,https://www.migros.ch/en/product/261500502500,fruits-vegetables,fruits,,,,,,,180,43,0.5,0,8.5,7.7,2,0.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · figs · Freshness,https://www.migros.ch/en/product/264880502300,fruits-vegetables,fruits,4.5,1.8,100g,1,250,g,276,65,0.5,0,13,13,2,1.3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demeter · Flat peaches,https://www.migros.ch/en/product/261604502700,fruits-vegetables,fruits,3.5,0.7,100g,1,500,g,186,44,0.5,0,9,8,2,0.8,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz · Apples,https://www.migros.ch/en/product/260238509300,fruits-vegetables,fruits,,,,,,,232,55,0.5,0.1,12,12,2.1,0.5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Apples · Pink Lady,https://www.migros.ch/en/product/260289104100,fruits-vegetables,fruits,,,,,,,232,55,0.5,0.1,12,12,2.1,0.5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · Apples · Golden,https://www.migros.ch/en/product/260220304100,fruits-vegetables,fruits,,,,,,,232,55,0.5,0.1,12,12,2.1,0.5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · Apples · Envy,https://www.migros.ch/en/product/260216101000,fruits-vegetables,fruits,,,,,,,232,55,0.5,0.1,12,12,2.1,0.5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Erdnüsse,https://www.migros.ch/en/product/266070101000,fruits-vegetables,fruits,9.6,0.96,100g,1,1000,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currants,https://www.migros.ch/en/product/265611102300,fruits-vegetables,fruits,4.5,1.8,100g,1,250,g,139,33,0.5,0,5,5,3.5,1.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snack Kastanien geschält und gekocht,https://www.migros.ch/en/product/266102102300,fruits-vegetables,fruits,,,,,,,668,158,,,30,,7,3.4,,1.2,0.3,8.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Coconut · to drink,https://www.migros.ch/en/product/266080513200,fruits-vegetables,fruits,3.2,3.2,piece,1,,piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Budget Baumnüsse Grenoble,https://www.migros.ch/en/product/266000309400,fruits-vegetables,fruits,5,0.5,100g,1,1000,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kastanien,https://www.migros.ch/en/product/266100501000,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marroni lose,https://www.migros.ch/en/product/266101701000,fruits-vegetables,fruits,9.5,0.95,100g,1,1000,g,837,198,1.5,0.3,42,5,1.4,2.9,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kastanien,https://www.migros.ch/en/product/266100502700,fruits-vegetables,fruits,,,,,,,837,198,1.5,0.3,42,5,1.4,2.9,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baumnüsse,https://www.migros.ch/en/product/266000919000,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kokosnuss,https://www.migros.ch/en/product/266003313200,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kastanien gedörrt,https://www.migros.ch/en/product/266100709400,fruits-vegetables,fruits,,,,,,,1300,307,3.9,,62,,,6,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kastanien,https://www.migros.ch/en/product/266100509300,fruits-vegetables,fruits,,,,,,,837,198,1.5,0.3,42,5,1.4,2.9,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baumnüsse Grenoble,https://www.migros.ch/en/product/266000509500,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nüsse lose,https://www.migros.ch/en/product/268800901000,fruits-vegetables,fruits,1.5,1.5,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · pears · Conference,https://www.migros.ch/en/product/260508104100,fruits-vegetables,fruits,,,,,,,246,58,0.5,0,12,10,3,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Apricots,https://www.migros.ch/en/product/261580102300,fruits-vegetables,fruits,5.9,1.18,100g,1,500,g,180,43,0.5,0,8.5,7.7,2,0.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avocado · Tropical,https://www.migros.ch/en/product/264500613200,fruits-vegetables,fruits,,,,,,,643,156,14,2,1.8,0.7,7,1.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiwi · Green,https://www.migros.ch/en/product/264400613200,fruits-vegetables,fruits,1.15,1.15,piece,1,,piece,229,54,0.6,0,10,10,2.5,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prickly pears,https://www.migros.ch/en/product/264610502300,fruits-vegetables,fruits,1.9,0.38,100g,1,500,g,193,46,0.5,0,7.1,7.1,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · kiwi · Gold,https://www.migros.ch/en/product/264480302200,fruits-vegetables,fruits,2.95,0.98,piece,3,,piece,229,54,0.6,0,10,10,2.5,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Kiwi,https://www.migros.ch/en/product/264480102100,fruits-vegetables,fruits,,,,,,,229,54,0.6,0,10,10,2.5,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Kiwi Gold,https://www.migros.ch/en/product/264400913300,fruits-vegetables,fruits,1.5,1.5,piece,1,,piece,229,54,0.6,0,10,10,2.5,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Budget · Avocados,https://www.migros.ch/en/product/264501202300,fruits-vegetables,fruits,2.3,0.46,100g,1,500,g,643,156,14,2,1.8,0.7,7,1.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra · figs,https://www.migros.ch/en/product/264800802300,fruits-vegetables,fruits,,,,,,,276,65,0.5,0,13,13,2,1.3,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresca · melon · Piel de Sapo,https://www.migros.ch/en/product/264712313200,fruits-vegetables,fruits,3.6,3.6,piece,1,,piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandarinen,https://www.migros.ch/en/product/263402501000,fruits-vegetables,fruits,2.95,0.3,100g,1,1000,g,201,47,0.5,0,10,10,1.4,0.7,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio Clementinen,https://www.migros.ch/en/product/263480101000,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sélection Mandared,https://www.migros.ch/en/product/263400801000,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clementinen,https://www.migros.ch/en/product/263405501000,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra · Watermelon · Extra Baby,https://www.migros.ch/en/product/264710123200,fruits-vegetables,fruits,,,,,,,129,31,0.5,0,6.3,6.3,0.5,0.5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clementinen,https://www.migros.ch/en/product/263405712300,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Clementinen mit Blatt,https://www.migros.ch/en/product/263406201000,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Clementinen Orri,https://www.migros.ch/en/product/263404801000,fruits-vegetables,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demeter Clementinen,https://www.migros.ch/en/product/263405701000,fruits-vegetables,fruits,4.2,0.42,100g,1,1000,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
